Titulo,Fecha_Envio,Fecha_Revision,Resumen,Nombre_Topico,Autores,Revisores,Valoraciones,Comentarios
Quod illum nesciunt consequuntur ea.,2024-03-25,2024-04-17,Et aspernatur in voluptatem nemo odio. Tempore soluta accusamus blanditiis ea.,Inteligencia Artificial,"9000297-7|Teresa Maria Luisa Corral Puga|octaviojiminez@example.net, 9000086-2|Emilia Tania Jaime Santiago|dheredia@example.org, 9000203-3|Dr. Cristobal Marquez|uriaslorenzo@example.org","9000281-8|Ramiro Georgina Chapa Cardona|federicoarteaga@example.net, 9000085-3|Rodolfo Cisneros Montez|vanesa62@example.net, 9000028-9|Isabela Dario Bermudez|tameznayeli@example.org",8|91|99,Occaecati qui ipsa quidem praesentium quasi quam nihil reprehenderit magni corrupti.|Nisi fuga officiis fugit ipsa magni.|Eius quo doloremque laudantium aliquid maxime minima magni unde eligendi fugit quidem veritatis.
Repellendus quasi voluptatibus.,2025-01-27,2025-02-09,Maxime nemo nulla aut eligendi blanditiis. Laborum dolore cumque vel ea.,Inteligencia Artificial|Computacion Grafica,9000030-0|Juana Arellano Rodrigez|elvirarincon@example.com,"9000217-0|Sandra Concepcion Barraza Castro|sofia98@example.net, 9000002-0|Mtro. Leonel Martinez|felix10@example.net, 9000170-5|Maria del Carmen Jose Eduardo Nieto|kbermudez@example.org",65|50|69,Ipsam inventore ea sint voluptatibus quasi blanditiis.|Rem quia dolore asperiores culpa excepturi iste quasi perferendis asperiores.|Tempora alias aut provident maxime deleniti nam saepe numquam veniam.
Ab consequatur fugiat velit perferendis eaque corrupti repellendus.,2023-12-20,2024-02-07,Consectetur odio at maiores quam. A architecto nam dignissimos debitis. Porro nostrum occaecati doloremque expedita minus.,Ingenieria de Software|Inteligencia Artificial,"9000287-7|Jose Alfredo Muniz Gaitan|yenicandelaria@example.com, 9000152-1|Pablo Trevino|micaelagaona@example.com, 9000046-0|Dr. Martin Salas|falfaro@example.com","9000270-6|Camila Urena Galvan|orazo@example.com, 9000156-7|Paulina Torres Lopez|cristina25@example.net, 9000190-8|Alejandro Lozada|alvarofeliciano@example.org",15|47|55,Optio blanditiis iure eum beatae possimus provident quo laborum.|Nobis porro adipisci eaque dolor sed illum natus eum perferendis illum repellat.|Id totam eaque quas excepturi repellendus est illum nemo cumque dignissimos.
Beatae voluptas nostrum consectetur molestiae veniam accusantium fugit.,2024-11-24,2025-01-21,"Quisquam mollitia omnis maxime facere dicta. Saepe hic quaerat enim. Tenetur ex dolor quasi.
Sapiente quidem minima.",Ingenieria del Conocimiento|Realidad Virtual,"9000297-7|Teresa Maria Luisa Corral Puga|octaviojiminez@example.net, 9000147-K|Patricio Alejandro Negron|luis-manuelcavazos@example.org","9000120-9|Miguel Angel Escamilla|alfonso04@example.net, 9000246-3|Reina Lorena Angulo|strejo@example.net, 9000260-0|Yolanda Cadena|clararomero@example.com",34|10|93,Accusantium quia molestiae ullam atque nihil hic rerum similique quos incidunt.|Error itaque aut voluptas nemo fugiat.|At vitae natus laboriosam tenetur modi doloribus accusantium libero hic fuga.
Quaerat iste neque ad quo ipsum labore.,2024-04-25,2024-06-03,Ex repellat voluptate atque cumque. Nisi assumenda illo saepe minima saepe quis.,Seguridad Informatica|Realidad Aumentada,9000058-3|Gonzalo Godinez|estefania39@example.com,"9000169-2|Marisela Salvador Polanco de la Cruz|cmontoya@example.org, 9000167-9|Ernesto Lira|hfeliciano@example.org, 9000191-2|Estefania Ortega Zamudio|aguilaremilia@example.com",10|41|84,Libero vero doloremque itaque laboriosam mollitia qui quasi ullam incidunt aspernatur consectetur.|Cum quibusdam cumque ipsa voluptas aliquam.|Libero numquam minima consequuntur soluta in ab blanditiis voluptatum quam sunt.
Minima nostrum fuga officiis consequuntur.,2023-04-22,2023-05-31,Rem veritatis fuga non iusto. Vel unde quam sequi consequatur. Quaerat labore et debitis iusto voluptatibus ab.,Criptografia|Realidad Virtual,"9000065-3|Georgina Sanches|fquezada@example.net, 9000088-6|Sara Ursula Tafoya Aguilera|wilfrido12@example.com, 9000100-4|Lucas Isabela Mayorga Cantu|isaacpatino@example.net","9000112-4|Magdalena Nadia Baca|sisneroscristian@example.com, 9000135-9|Renato Carmona Espino|quintanahumberto@example.com, 9000217-0|Sandra Concepcion Barraza Castro|sofia98@example.net",93|45|78,Earum reprehenderit sint nesciunt esse numquam illo ducimus.|Odit dicta nihil aut dolor debitis natus consectetur minima officia fugit nemo.|Non vitae qui nulla tenetur distinctio a doloremque dolor ut nostrum corporis labore.
Eum tempore amet.,2023-08-29,2023-10-19,Incidunt iusto esse quis dolores hic. Provident explicabo saepe et aspernatur non. Veritatis veniam rerum quae saepe.,Arquitectura de Computadores|Computacion Cuantica,9000098-5|Mtro. Minerva Almaraz|naranjohomero@example.org,"9000137-6|Amador Lerma Saldana|ilira@example.org, 9000062-3|Sr(a). Alicia Bonilla|velazquezgabino@example.net, 9000041-1|Dr. Delia Palomino|userrato@example.org",95|86|20,Deserunt facere deserunt nesciunt eveniet tenetur.|Magnam accusamus earum officia odit id voluptatum provident earum.|Voluptas reprehenderit sint unde voluptatum odio.
Cupiditate quibusdam officia molestias aut fuga nostrum.,2024-01-02,2024-02-26,"Sit consectetur in sapiente. Ipsam quae et similique.
Omnis qui ex perferendis tempore. Temporibus nesciunt velit maiores.",Big Data,"9000177-7|German Duran|fsalazar@example.com, 9000081-9|Dalia Jose Eduardo Mota Fuentes|vicente19@example.net, 9000185-9|Ana Maria de Anda|yacevedo@example.com","9000248-1|Cristal Victor Rosario|biancamontez@example.net, 9000052-8|Clara Rodarte|fadame@example.org, 9000062-3|Sr(a). Alicia Bonilla|velazquezgabino@example.net",46|49|72,Necessitatibus possimus necessitatibus iure blanditiis at quas delectus nihil vitae quisquam.|Dolor fugiat aspernatur quam doloribus saepe.|Quibusdam qui est fugit enim eius natus impedit.
Earum dicta voluptatem ea ipsam.,2025-02-15,2025-02-25,Explicabo facilis quo minima repudiandae porro cupiditate. Harum modi distinctio praesentium expedita repellat recusandae dignissimos.,Tecnologias Moviles,"9000044-9|Irene Camilo Paez Serrano|torresmaria-teresa@example.com, 9000280-K|Carla Elisa Mata|tellodulce-maria@example.org, 9000178-0|Maximiliano Geronimo Villalpando|benito34@example.org","9000202-8|Rodolfo Rosado de la Rosa|rcordero@example.org, 9000172-8|Ing. Aldonza Jaramillo|duenasgeorgina@example.net, 9000097-0|Virginia Tirado Cepeda|caridad28@example.com",17|67|46,Culpa labore excepturi temporibus deleniti facere.|Iure delectus accusantium repellat itaque nemo ipsa id.|Dolorum fuga excepturi perspiciatis error voluptas soluta quis tempore.
Autem incidunt earum neque nihil cum cumque.,2023-04-15,2023-05-03,Vitae velit dicta voluptas quibusdam consectetur ex vero. Est quisquam reiciendis itaque.,IoT|Redes Neuronales,9000275-1|Bianca Felix Espinosa Espinal|bcintron@example.org,"9000105-3|Mtro. Adriana Delgado|amelia26@example.net, 9000000-K|Horacio Valdivia Ocampo|carolina81@example.net, 9000120-9|Miguel Angel Escamilla|alfonso04@example.net",66|49|71,Culpa aut mollitia hic distinctio iusto fugiat iure doloribus totam harum et.|Id eveniet eligendi perferendis sit nisi modi.|Laborum qui nesciunt dolore non quisquam fuga excepturi reprehenderit nostrum.
Totam officia consequuntur deleniti distinctio ipsa.,2024-04-13,2024-06-02,Omnis incidunt eligendi harum reprehenderit alias. Debitis id maxime autem rem expedita. Omnis illo rem cum.,Ingenieria de Software,"9000229-0|Graciela Pacheco|renteriaaugusto@example.com, 9000043-5|Mtro. Alfonso Cardona|umontano@example.com","9000278-1|Mtro. Armando Pineda|posadasalvador@example.org, 9000061-K|Mateo Feliciano|ines40@example.org, 9000208-5|Lic. Cristian Curiel|sofiade-jesus@example.net",15|17|9,Sapiente voluptas beatae debitis incidunt quis sit aspernatur ab veniam.|Ducimus maiores nostrum sit ipsa iure aliquam sint itaque amet nobis fuga incidunt.|Quisquam ad eaque eos impedit ipsum error alias beatae.
Minus id cupiditate.,2024-09-19,2024-10-18,Maiores quas excepturi odio error id. Veniam ducimus officiis sunt.,Computacion en la Nube|Sistemas Recomendadores,9000204-4|Ramon Gamez Rivero|jose-carlos29@example.net,"9000213-3|Tomas Antonia Rascon Robledo|carolina89@example.org, 9000063-4|Amelia Loera|jesus19@example.net, 9000160-2|Camilo Florez|gbustos@example.com",69|37|38,Earum illum accusantium impedit consectetur eaque nobis voluptate et.|Dolore quae dolore nostrum quas non itaque in.|Eveniet harum ut accusamus excepturi expedita ipsam iure quia distinctio possimus perferendis ducimu
Optio necessitatibus aspernatur.,2023-10-19,2023-12-04,Unde debitis enim minus. Quis omnis placeat atque neque in. Illum odio nulla consequuntur nulla voluptatum.,Sistemas Recomendadores,"9000086-2|Emilia Tania Jaime Santiago|dheredia@example.org, 9000288-7|Leticia Federico Malave|mario88@example.com, 9000182-3|Esperanza Aurora Puente Calvillo|quirozdaniela@example.net","9000222-3|Dr. Marco Antonio Bustos|maria-del-carmenmontes@example.org, 9000038-1|Gregorio Carrero|ualonso@example.org, 9000208-5|Lic. Cristian Curiel|sofiade-jesus@example.net",17|30|63,Ipsam doloribus debitis itaque odit rem saepe sit tenetur doloribus quam architecto quibusdam.|Sint voluptatum similique architecto impedit ea quaerat commodi quod officia modi.|Ipsa repudiandae animi repellat repudiandae quam.
Facilis quaerat maiores.,2023-10-30,2023-12-05,Eos ipsam ratione praesentium necessitatibus nisi. Corporis enim dolore fuga.,Procesamiento de Lenguaje Natural,"9000280-K|Carla Elisa Mata|tellodulce-maria@example.org, 9000286-6|Camila Maria Teresa Carvajal|modestolovato@example.net, 9000247-1|Aurora Gustavo Mena|mdel-rio@example.org","9000019-9|Lic. Ofelia Berrios|vmarin@example.com, 9000010-1|Cristina Jose Eduardo Marrero Melendez|avilacristal@example.org, 9000063-4|Amelia Loera|jesus19@example.net",39|50|91,Quam quia voluptatum illo nulla cupiditate exercitationem culpa sequi et.|Fugiat unde officiis sit laboriosam laborum fugit pariatur aperiam dolore.|Dolore eius quod ratione officiis explicabo itaque totam.
Saepe sapiente quos.,2024-07-12,2024-08-31,Aliquam non mollitia at. Quasi totam temporibus consequatur esse. Dolorem nesciunt neque iure modi.,Metodos Numericos|Programacion Paralela|Blockchain,"9000296-4|Camilo Cintron|archuletahernan@example.com, 9000263-1|Timoteo Natividad Farias Corral|cynthia88@example.org","9000176-5|Lic. Jos Bueno|pcaraballo@example.com, 9000264-3|Modesto Norma Ontiveros|iglesiasfrancisca@example.net, 9000091-8|Camila German Vela Gastelum|xvalentin@example.net",57|59|87,Nisi error ab inventore temporibus quam ipsam odit.|Rem nostrum itaque a quidem nobis laudantium debitis magni maiores veritatis error sint.|Exercitationem perspiciatis magnam numquam beatae quidem delectus ab tempora.
Iusto cum aperiam inventore esse unde ipsam.,2024-02-23,2024-03-30,Deserunt autem doloremque esse. Eum minus aut error non. Perferendis eum deleniti id cupiditate culpa optio.,Vision Computacional|Machine Learning|Analisis de Vulnerabilidades,"9000103-9|Cynthia Margarita Urena Ponce|carrascoantonio@example.net, 9000001-1|Gonzalo Pina|mcorrea@example.com, 9000235-K|Magdalena Medrano Zayas|aldonza13@example.net","9000034-4|Sr(a). Israel Linares|htorrez@example.com, 9000090-K|Mario Angel Bustos|cabanmagdalena@example.org, 9000038-1|Gregorio Carrero|ualonso@example.org",66|19|38,Officia consequuntur itaque earum repellendus dicta optio ducimus rerum ad.|Ratione eveniet nam dicta dolor magnam sequi autem doloribus eveniet laboriosam.|Iusto voluptas aliquid optio porro tenetur laborum eius non fugiat aut odit eius.
Ipsa eligendi iusto sunt asperiores voluptate.,2024-01-27,2024-02-17,Soluta nihil nemo natus. Doloribus nemo quis ea minus eos. Consequuntur quo sit.,Mineria de Datos,"9000221-9|Sofia Humberto Castellanos Macias|yeni65@example.com, 9000114-3|Federico Rivera|bmiramontes@example.com, 9000245-6|Olga Lilia Valles|daviddel-rio@example.org","9000250-6|Marcos Olvera|eduardo77@example.com, 9000093-K|Ivonne Jeronimo Aguayo Duran|raulpacheco@example.org, 9000154-6|Guillermo Luis Miguel Abreu|fabiola96@example.org",25|81|70,Natus voluptatum vero sit eveniet molestiae.|Nemo odio quasi natus voluptate quos minus reiciendis sed.|Nemo iusto officiis deleniti asperiores placeat repellendus.
Iste sunt qui officiis asperiores officia excepturi.,2023-12-22,2024-01-11,Suscipit illo eos numquam harum ab. Incidunt ea dolore perferendis eveniet itaque. Quo nemo explicabo sunt sint.,Machine Learning|Computacion Cuantica,"9000049-1|Mtro. Timoteo Pineda|maria-eugenia43@example.com, 9000188-7|Marcela Noemi Razo Casarez|espartacobarela@example.com, 9000134-6|Ivonne Sofia Otero Blanco|zeferino86@example.com","9000207-K|Fernando Quezada Quinones|josenieves@example.com, 9000249-K|Lic. Oscar Ojeda|fernandorincon@example.com, 9000218-9|Horacio Riojas Razo|baezjose-carlos@example.com",21|84|79,Unde omnis dicta cum voluptatibus doloremque ullam quo ad soluta.|Commodi veniam ad sint sequi dignissimos aliquid ipsa dicta quo nihil.|At cupiditate totam quam commodi quidem blanditiis.
Qui facere voluptatum impedit distinctio at magni.,2023-04-19,2023-04-22,Magni velit accusamus fugit in. Explicabo veniam saepe ipsa. Dolorem praesentium officiis repellat soluta.,Tecnologias Moviles|DevOps|Etica en Tecnologia,9000279-0|Fabiola Valverde Berrios|ruelasangela@example.net,"9000158-4|Juana Ruben Tamez Lozano|msantiago@example.com, 9000079-K|Dr. Esparta Acosta|lugomarisol@example.net, 9000039-1|Victor Soledad Cano|cecilia05@example.net",83|26|98,Maxime consequuntur iusto aliquam nisi distinctio qui.|Fuga impedit culpa cupiditate vel vitae quia repellat delectus.|Ratione adipisci dignissimos illo fuga sapiente numquam.
Quos ex suscipit.,2024-10-14,2024-10-16,"Totam aliquid fugiat nisi.
Culpa accusamus tempore at. Beatae labore voluptatem sequi. Ipsam sequi repellat a labore tempore ducimus.",Blockchain|Interaccion Humano Computador|Computacion Cuantica,"9000058-3|Gonzalo Godinez|estefania39@example.com, 9000016-3|Mercedes Anaya|qmiramontes@example.net","9000141-8|Alta  Gracia Claudio Zuniga|iaragon@example.org, 9000020-0|Dr. Teodoro Gonzales|camarilloliliana@example.com, 9000183-0|Hermelinda Carlos Arreola|lourdesreyna@example.org",87|51|38,Pariatur maxime neque sunt quis consectetur in optio neque vel alias.|Odio recusandae voluptatem accusamus odio saepe dolores id accusamus laboriosam.|Deleniti sit voluptas illo voluptatibus iste ea ipsam quia omnis.
Unde excepturi tempora ducimus rem laborum molestias.,2024-10-19,2024-10-23,"Quis ea quos incidunt ad molestiae. Dolorem itaque beatae mollitia.
Sit esse ipsa voluptates. Vitae voluptas delectus reprehenderit.",Analisis de Sistemas|Visualizacion de Datos,9000177-7|German Duran|fsalazar@example.com,"9000282-0|Lic. Paulina Lemus|cazaresbeatriz@example.com, 9000020-0|Dr. Teodoro Gonzales|camarilloliliana@example.com, 9000133-K|Fernando German Valdez|espartaco44@example.net",26|43|77,Molestiae veritatis incidunt dicta aliquid voluptas id.|Tempore voluptas tempora iusto consequatur vel a dolorum nam est.|Nisi architecto quidem consequuntur laboriosam cum voluptas voluptate voluptatem hic cum in nihil.
Rerum architecto vitae eius tempora.,2024-04-08,2024-06-03,Velit corrupti ipsam perferendis quis ab blanditiis est. Quo nisi doloremque ipsa.,IoT,"9000204-4|Ramon Gamez Rivero|jose-carlos29@example.net, 9000114-3|Federico Rivera|bmiramontes@example.com, 9000164-4|Hector Villalobos|kmagana@example.net","9000019-9|Lic. Ofelia Berrios|vmarin@example.com, 9000246-3|Reina Lorena Angulo|strejo@example.net, 9000041-1|Dr. Delia Palomino|userrato@example.org",71|13|40,Nesciunt soluta porro recusandae quis dolore aut voluptatum nobis nobis facere.|Saepe vitae in odit sint eius quam eius dolorum magni in saepe.|Assumenda aut rem doloribus libero nihil pariatur aut quos provident.
Non natus non sit pariatur aliquam autem.,2025-01-06,2025-01-14,Atque vitae dolores neque quae nobis repellendus. Expedita ratione sequi.,Compiladores,"9000044-9|Irene Camilo Paez Serrano|torresmaria-teresa@example.com, 9000233-3|Sonia Velasquez|juan-carlossaldana@example.com","9000143-8|Salvador Cristian Benitez|soledadsalcido@example.com, 9000110-7|Linda Laboy|nellycarrera@example.com, 9000270-6|Camila Urena Galvan|orazo@example.com",37|49|78,Explicabo vitae eius quos eveniet praesentium odio quisquam cum nam.|Officia qui quidem quos cupiditate libero at explicabo modi rem vitae et esse.|Odit est libero delectus fugit eaque provident.
Excepturi ipsa facere culpa cumque accusamus.,2024-06-17,2024-08-09,"Est magni odit eos nam debitis nulla asperiores. At nisi soluta illo.
Quaerat minus id ullam. Sapiente qui soluta reiciendis.",Bioinformatica|Mineria de Datos,"9000296-4|Camilo Cintron|archuletahernan@example.com, 9000266-3|Alejandra Silvia Corral|carmenrojas@example.net","9000011-9|Nancy Najera|naranjohoracio@example.org, 9000113-2|Veronica Bustamante Villegas|lrios@example.net, 9000120-9|Miguel Angel Escamilla|alfonso04@example.net",65|59|63,Voluptatum deleniti delectus maxime id nemo temporibus harum ea reiciendis facilis reiciendis invent|Tempore vel eum explicabo vero consequatur similique voluptates doloribus modi.|Atque totam voluptates provident modi autem repudiandae.
